,Bathrooms,Bedrooms,Fibre Internet,Floor Size,Garages,Listing Date,Listing Number,Price,Town,Type of Property,Erf Size,Garden,Parking,Pool,Pet Friendly,No Pets Allowed,Secure Parking,Furnished,Flatlet,ADSL Internet,Furnished (Optional),Satellite Internet,Fixed WiMax Internet
291,2.0,4.0,,,3.0,11 August 2020,108974178,8500000.0000,"Newlands, Cape Town",House,595 m²,,,,,,,,,,,,
292,1.0,2.0,,83 m²,1.0,06 June 2020,108714931,1495000.0000,"21 Pinetree Avenue, Claremont, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
293,3.0,5.0,,262 m²,2.0,23 June 2020,108789525,10500000.0000,"8 Wayside Road, Rondebosch, Cape Town",House,1 143 m²,1.0,2.0,1.0,,,,,,,,,
294,1.0,2.0,,73 m²,1.0,11 August 2020,108971005,1895000.0000,"Vredehoek, Cape Town",Apartment / Flat,,1.0,,1.0,,1.0,,,,,,,
295,1.0,1.0,,34 m²,,17 July 2020,108884158,879000.0000,"94 Main Road, Muizenberg, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
296,2.0,3.0,,190 m²,2.0,22 June 2020,108785840,3495000.0000,"63 Doordrift, Constantia, Cape Town",House,154 m²,1.0,,1.0,,,,,,,,,
297,2.5,3.0,,,2.0,28 August 2020,109043490,8299000.0000,"Fresnaye, Cape Town",Townhouse,,1.0,2.0,1.0,1.0,,,,,,,,
298,5.5,6.0,,280 m²,3.0,30 July 2020,108929403,35000000.0000,"Camps Bay, Cape Town",House,805 m²,1.0,,1.0,1.0,,,1.0,,,,,
299,1.0,2.0,,92 m²,1.0,03 July 2020,108829749,1995000.0000,"The Citadel, 4 Birmingham Road, Plumstead, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,,
300,1.0,1.0,1.0,61 m²,,06 August 2020,108930457,2200000.0000,"13 Sophia Street, Oranjezicht, Cape Town",Apartment / Flat,61 m²,,,,1.0,,,,,,1.0,,
301,1.0,2.0,,78 m²,1.0,27 July 2020,108916333,1495000.0000,"Wynberg Upper, Cape Town",Apartment / Flat,,,,,,,,,,,,,
302,3.0,4.0,,,2.0,16 July 2020,108879249,14900000.0000,"Higgovale, Cape Town",House,495 m²,,,1.0,1.0,,,,1.0,,,,
303,2.0,4.0,,181 m²,2.0,10 July 2020,108857617,2195000.0000,"Thornton, Cape Town",House,595 m²,,3.0,1.0,1.0,,,,,,,,
304,1.0,2.0,,60 m²,1.0,14 June 2020,108761069,1200000.0000,"172 Pagoda Street, Muizenberg, Cape Town",House,200 m²,,,,,,,,,,,,
305,2.0,2.0,,98 m²,2.0,06 August 2020,108958428,6250000.0000,"402, Regent Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
306,1.0,1.0,,51 m²,,15 April 2020,108624104,2950000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,1.0,,1.0,,,,,
307,1.0,2.0,,83 m²,1.0,05 June 2020,108713323,1575000.0000,"21 Pinetree Avenue, Claremont, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
308,2.0,4.0,,128 m²,,23 June 2020,108790070,4550000.0000,"Jessica Court, 21 Main Road, Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
309,10.0,9.0,,,5.0,07 August 2020,108964797,22000000.0000,"Lakeside, Cape Town",House,1 248 m²,,4.0,1.0,1.0,,,,,,,,
310,1.0,1.0,,37 m²,1.0,07 June 2020,108716482,1150000.0000,"50 Buitenkant Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,1.0,,,,,,,
311,1.0,1.0,,43 m²,,05 June 2020,108713437,1500000.0000,"64 Keerom Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
312,2.0,2.0,,51 m²,,24 July 2020,108911913,1499000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,1.0,1.0,,,,,,,,,
313,3.0,3.0,1.0,300 m²,1.0,06 August 2020,108954741,7950000.0000,"2 Leicester Grove, Cnr Clyde Road, Green Point, Cape Town",House,378 m²,1.0,,1.0,1.0,,,,,,1.0,,
314,1.0,1.0,,61 m²,,23 July 2020,108907279,1265000.0000,"Muizenberg, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
315,4.5,6.0,,400 m²,1.0,14 August 2020,108988682,14500000.0000,"Constantia, Cape Town",House,1 526 m²,1.0,5.0,1.0,1.0,,,,,,,,
316,5.0,5.0,,212 m²,2.0,05 June 2020,108713385,3995000.0000,"18 Achilles Way, Pinelands, Cape Town",House,676 m²,,,,1.0,,3.0,,,,,,
317,2.0,2.0,,,2.0,20 July 2020,108888830,3250000.0000,"Pinelands, Cape Town",Townhouse,208 m²,,,,1.0,,,,,,,,
318,2.5,2.0,,164 m²,,06 August 2020,108956776,10850000.0000,"Fresnaye, Cape Town",Apartment / Flat,,,2.0,1.0,1.0,,,,,,,,
319,1.0,2.0,,50 m²,,13 August 2020,108985208,1890000.0000,"Wynberg Upper, Cape Town",Apartment / Flat,,,,,,,,,,,,,
320,2.0,2.0,,200 m²,,29 July 2020,108927469,6995000.0000,"De Waterkant, Cape Town",Townhouse,120 m²,,,,,1.0,,,,,,,
321,6.0,6.0,,862 m²,1.0,31 July 2020,108936160,59000000.0000,"Llandudno, Cape Town",House,991 m²,,4.0,1.0,,1.0,,,1.0,,,,
322,1.0,2.0,,86 m²,,13 August 2020,108981181,3995000.0000,"Mouille Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
323,1.0,2.0,,72 m²,1.0,03 June 2020,108704143,2095000.0000,"205 The Edge, Gardens, Cape Town",Apartment / Flat,,,,,,,,,,,,,
324,1.0,1.0,1.0,,1.0,08 July 2020,108847248,1525000.0000,"25 Sussex Street, Woodstock, Cape Town",Apartment / Flat,,,,,,,,,,,,,
325,2.5,2.0,1.0,,1.0,22 July 2020,108899154,3895000.0000,"37 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
326,2.0,2.0,,87 m²,2.0,07 June 2020,108716277,2980000.0000,"22 Riebeek Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,1.0,,,,,,,
327,1.0,3.0,,,2.0,21 August 2020,109013608,2190000.0000,"Grassy Park, Cape Town",House,497 m²,,,,,,,,,,,,
328,1.0,2.0,,83 m²,,06 April 2020,108615379,2295000.0000,"4 Bennington, Tamboerskloof, Cape Town",Apartment / Flat,,,1.0,,1.0,,,,,,,,
329,3.5,3.0,,,2.0,05 August 2020,108951578,6495000.0000,"Green Point, Cape Town",House,404 m²,1.0,,1.0,,,,,,,,,
330,1.0,2.0,,67 m²,,27 July 2020,108919208,2100000.0000,"Kenilworth, Cape Town",Apartment / Flat,67 m²,1.0,1.0,,,,,,,,,,
