,Bathrooms,Bedrooms,Fibre Internet,Floor Size,Garages,Listing Date,Listing Number,Price,Town,Type of Property,Erf Size,Garden,Parking,Pool,Pet Friendly,No Pets Allowed,Secure Parking,Furnished,Flatlet,ADSL Internet,Furnished (Optional),Satellite Internet,Fixed WiMax Internet
1154,2.0,2.0,,69 m²,,14 July 2020,108868374,3750000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,1.0,,,,,
1155,1.0,1.0,,46 m²,,02 July 2020,108822900,1795000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
1156,1.0,3.0,,,,06 July 2020,108836878,2950000.0000,"Observatory, Cape Town",House,,,2.0,,,,,,,,,,
1157,3.0,3.0,,210 m²,,12 March 2020,108561504,4950000.0000,"17 Sydney Street, Green Point, Cape Town",House,212 m²,,,1.0,,,,,,,,,
1158,2.5,5.0,,,,18 June 2020,108773633,2700000.0000,"Mowbray, Cape Town",House,327 m²,1.0,,,,,4.0,,,,,,
1159,1.0,1.0,,60 m²,,26 August 2020,107648109,1195000.0000,"Newlands, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1160,2.0,3.0,,140 m²,2.0,29 June 2020,108811219,2250000.0000,"10 East Lake Way, Marina Da Gama, Cape Town",Townhouse,221 m²,1.0,,,1.0,,,,,,,,
1161,2.0,2.0,1.0,95 m²,,15 April 2020,108624509,3995000.0000,"1 Dockrail Street, Foreshore, Cape Town",Apartment / Flat,,,2.0,1.0,,,,,,,,,
1162,1.0,2.0,,,,05 August 2020,108954007,1995000.0000,"Kenilworth, Cape Town",House,225 m²,,2.0,,,,,,,,,,
1163,2.0,2.0,,67 m²,,21 July 2020,108895658,2350000.0000,"Kenilworth Upper, Cape Town",Apartment / Flat,6 174 m²,,1.0,,1.0,,,,,,,,
1164,1.0,1.0,,62 m²,1.0,18 May 2020,108667960,1450000.0000,"7 Pine Road, Claremont Upper, Cape Town",Apartment / Flat,,1.0,1.0,,,1.0,,,,,,,
1165,2.0,3.0,,,,17 June 2020,108768848,2795000.0000,"Claremont Upper, Cape Town",House,175 m²,,,,,,,,,,,,
1166,2.0,5.0,,326 m²,2.0,05 March 2020,108536442,11500000.0000,"10b Brommaert Avenue, Constantia, Cape Town",House,1 355 m²,,,1.0,1.0,,,,1.0,,,,
1167,1.0,3.0,1.0,,,13 July 2020,108866147,1595000.0000,"Woodstock, Cape Town",House,189 m²,1.0,,,,,,,,,,,
1168,,2.0,,122 m²,,12 May 2020,108657858,6850000.0000,"24 Gatesville Road, Kalk Bay, Cape Town",House,122 m²,,,1.0,,,2.0,,,,,,
1169,3.0,4.0,,,3.0,13 July 2020,106915422,13995000.0000,"Fresnaye, Cape Town",House,430 m²,,,1.0,,,,,,,,,
1170,1.0,1.0,,64 m²,,13 July 2020,108863655,2200000.0000,"Woodstock, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
1171,1.0,2.0,,,1.0,12 August 2020,108976182,1395000.0000,"38 Clifton Road, Muizenberg, Cape Town",House,248 m²,,,,,,,,,,,,
1172,2.0,3.0,,123 m²,1.0,30 June 2020,108815717,1930000.0000,"Wynberg Upper, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
1173,1.0,2.0,,73 m²,,13 July 2020,108863540,1750000.0000,"Woodstock, Cape Town",Apartment / Flat,,,1.0,1.0,1.0,,,,,,,,
1174,2.0,3.0,1.0,,2.0,15 July 2020,108872784,2049000.0000,"Thornton, Cape Town",House,603 m²,1.0,2.0,,,,,,,,,,
1175,2.0,3.0,,140 m²,1.0,21 July 2020,108893252,2295000.0000,"3a Adelaide Road, Plumstead, Cape Town",Townhouse,111 m²,1.0,,,1.0,,,,,,,,
1176,1.0,1.0,,64 m²,,02 July 2020,108823674,3450000.0000,"Green Point, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
1177,1.0,0.5,,38 m²,1.0,06 June 2020,108714970,1950000.0000,"252 Roggebaai, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,,
1178,2.5,4.0,,290 m²,,01 July 2020,108818397,7500000.0000,"Sea Point, Cape Town",Apartment / Flat,,,3.0,,,,,,,,,,
1179,2.0,2.0,1.0,95 m²,,15 April 2020,108624509,3995000.0000,"1 Dockrail Street, Foreshore, Cape Town",Apartment / Flat,,,2.0,1.0,,,,,,,,,
1180,2.0,3.0,,140 m²,2.0,29 June 2020,108811219,2250000.0000,"10 East Lake Way, Marina Da Gama, Cape Town",Townhouse,221 m²,1.0,,,1.0,,,,,,,,
1181,1.0,2.0,,,,05 August 2020,108954007,1995000.0000,"Kenilworth, Cape Town",House,225 m²,,2.0,,,,,,,,,,
1182,2.0,3.0,,122 m²,1.0,31 July 2020,108936838,3200000.0000,"Newlands, Cape Town",House,,,,,,,,,,,,,
1183,1.0,2.0,,82 m²,,26 June 2020,108806766,2500000.0000,"Claremont Upper, Cape Town",Apartment / Flat,1 146 m²,,2.0,,,,,,,,,,
1184,1.0,1.0,,30 m²,,24 July 2020,108909458,749000.0000,"Plumstead, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
1185,2.5,2.0,,178 m²,,10 July 2020,108858721,16500000.0000,"Bantry Bay, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1186,1.0,2.0,,,1.0,12 August 2020,108976182,1395000.0000,"38 Clifton Road, Muizenberg, Cape Town",House,248 m²,,,,,,,,,,,,
1187,2.0,3.0,,123 m²,1.0,30 June 2020,108815717,1930000.0000,"Wynberg Upper, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
1188,1.0,2.0,,73 m²,,13 July 2020,108863540,1750000.0000,"Woodstock, Cape Town",Apartment / Flat,,,1.0,1.0,1.0,,,,,,,,
1189,3.0,4.0,,209 m²,,26 June 2020,108804544,2985000.0000,"Kirstenhof, Cape Town",House,598 m²,1.0,,,,,6.0,,,,,,
1190,2.0,3.0,1.0,,2.0,15 July 2020,108872784,2049000.0000,"Thornton, Cape Town",House,603 m²,1.0,2.0,,,,,,,,,,
1191,2.0,3.0,,91 m²,,26 June 2020,108806019,1995000.0000,"Kenilworth, Cape Town",House,108 m²,,2.0,,,,,,,,,,
1192,2.0,3.0,,111 m²,1.0,26 June 2020,108804183,2095000.0000,"Plumstead, Cape Town",Townhouse,,1.0,,,1.0,,,,,,,,
1193,4.0,4.0,,460 m²,2.0,13 July 2020,108863188,34500000.0000,"Camps Bay, Cape Town",Apartment / Flat,517 m²,,2.0,1.0,,1.0,,,,,,,
1194,3.0,9.0,,198 m²,2.0,20 July 2020,108888178,1695000.0000,"Grassy Park, Cape Town",House,488 m²,,,,,,,,,,,,
1195,1.0,1.0,1.0,57 m²,,04 August 2020,108944294,2995000.0000,"Green Point, Cape Town",Apartment / Flat,87 m²,1.0,1.0,,1.0,,,,,,,,
1196,1.0,2.0,,101 m²,,26 June 2020,108805042,2799000.0000,"Claremont, Cape Town",House,259 m²,,2.0,,,,,,,,,,
1197,1.0,2.0,,89 m²,,25 June 2020,108802314,1695000.0000,"Kenilworth, Cape Town",Apartment / Flat,89 m²,,,,,,,,,,,,
1198,1.0,1.0,1.0,57 m²,,19 July 2020,108886777,3000000.0000,"Foreshore, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
1199,1.0,2.0,,116 m²,1.0,26 June 2020,108805979,2790000.0000,"Wynberg Upper, Cape Town",House,178 m²,,,,,,,,,,,,
1200,1.0,1.0,,39 m²,,09 January 2020,108303779,3975000.0000,"Clifton, Cape Town",Apartment / Flat,,,,,,1.0,,1.0,,,,,
1201,1.0,2.0,,,,10 September 2020,109102035,700000.0000,"Belhar, Cape Town",House,,,1.0,,,,,,,,,,
1202,4.0,4.0,1.0,461 m²,2.0,22 June 2020,108787330,13995000.0000,"13 Brommaert Avenue, Constantia, Cape Town",House,650 m²,1.0,,1.0,1.0,,,,,,,,
1203,2.0,3.0,,155 m²,3.0,28 January 2020,108372368,3650000.0000,"8 Oranje Street, Kirstenhof, Cape Town",House,949 m²,,4.0,,,,,,,,,,
1204,1.0,1.0,,57 m²,,31 May 2019,107553591,2750000.0000,"1 Dockrail Road, Foreshore, Cape Town",Apartment / Flat,57 m²,,,1.0,,,1.0,,,,,,
1205,1.0,2.0,,93 m²,,16 April 2020,108626202,2295000.0000,"9 Rouwkoop Avenue, Rondebosch, Cape Town",Apartment / Flat,,,2.0,,,1.0,,,,,,,
1206,1.0,3.0,,70 m²,,23 July 2020,108904731,1500000.0000,"Marina Da Gama, Cape Town",House,217 m²,1.0,2.0,,1.0,,,,,,,,
1207,2.0,2.0,,65 m²,,13 July 2020,108864659,1495000.0000,"Claremont, Cape Town",Apartment / Flat,848 m²,,2.0,,,,,,,,,,
1208,1.0,1.0,,56 m²,,04 August 2020,108947435,2800000.0000,"Mouille Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
1209,1.0,0.5,,37 m²,1.0,11 August 2020,108970551,1350000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
1210,1.5,2.0,,54 m²,,10 July 2020,108859395,2400000.0000,"Zonnebloem, Cape Town",Apartment / Flat,64 m²,,1.0,1.0,,1.0,,,,,,,
1211,2.5,2.0,,190 m²,,25 June 2020,108802167,9995000.0000,"Mouille Point, Cape Town",Apartment / Flat,,1.0,2.0,1.0,1.0,,,,,,,,
1212,1.0,1.0,,34 m²,,29 June 2020,108810087,875000.0000,"Mowbray, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
1213,2.5,3.0,,128 m²,1.0,06 April 2020,107088476,4195000.0000,"10 C Upland Ave, Devils Peak Estate, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1214,1.0,0.5,,35 m²,,25 June 2020,108801601,995000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
1215,1.5,2.0,,73 m²,1.0,25 June 2020,108799781,1850000.0000,"Vredehoek, Cape Town",Apartment / Flat,,,,1.0,,1.0,,,,,,,
1216,2.0,2.0,,66 m²,,28 May 2020,108689230,1995000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1217,1.0,1.0,,45 m²,,12 June 2020,108736626,2590000.0000,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,45 m²,,,,,,1.0,,,,,,
1218,2.0,4.0,,150 m²,,03 June 2020,108702439,4950000.0000,"Rosebank, Cape Town",House,490 m²,1.0,3.0,1.0,,,,,1.0,,,,
1219,2.5,2.0,,69 m²,,02 July 2020,108826301,2180000.0000,"Zonnebloem, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,,,,,,
1220,1.0,0.5,,41 m²,,17 July 2020,108883774,1650000.0000,"Green Point, Cape Town",Apartment / Flat,41 m²,,,,,,,,,,,,
1221,1.0,1.0,,39 m²,,09 January 2020,108303779,3975000.0000,"Clifton, Cape Town",Apartment / Flat,,,,,,1.0,,1.0,,,,,
1222,1.0,2.0,,116 m²,1.0,26 June 2020,108805979,2790000.0000,"Wynberg Upper, Cape Town",House,178 m²,,,,,,,,,,,,
1223,4.5,4.0,,,,18 March 2020,108581258,25200000.0000,"35 Main Road, Green Point, Cape Town",Apartment / Flat,,,3.0,,,,,,,,,,
1224,2.0,2.0,1.0,,2.0,17 June 2020,108771022,2750000.0000,"166 Ocean View Drive, Fresnaye, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
1225,1.0,1.0,,66 m²,1.0,26 June 2020,108805269,2390000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,1.0,,,,,,,
1226,2.0,2.0,,133 m²,,27 January 2020,108367297,4495000.0000,"1 Cast Anchor Way, Foreshore, Cape Town",Apartment / Flat,,,,1.0,,,2.0,,,,,,
1227,3.5,3.0,,206 m²,,28 January 2020,108372863,16850000.0000,"32 Kloof Road, Camps Bay, Cape Town",Apartment / Flat,,,,,,,2.0,,,,,,
1228,1.0,0.5,,36 m²,,19 June 2020,108778420,1790000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
1229,1.0,1.0,,56 m²,,04 August 2020,108947435,2800000.0000,"Mouille Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
1230,1.0,2.0,1.0,65 m²,,20 April 2020,108629879,1295000.0000,"6a De Waal Drive, Vredehoek, Cape Town",Apartment / Flat,65 m²,,,,,,,,,,,,
1231,2.5,2.0,,190 m²,,25 June 2020,108802167,9995000.0000,"Mouille Point, Cape Town",Apartment / Flat,,1.0,2.0,1.0,1.0,,,,,,,,
1232,5.0,5.0,,,3.0,20 May 2020,107103820,29995000.0000,"44 Avenue Disandt, Fresnaye, Cape Town",House,633 m²,1.0,,1.0,,,2.0,,,,,,
1233,1.0,0.5,,35 m²,,25 June 2020,108801601,995000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
1234,2.0,3.0,1.0,114 m²,,25 June 2020,108790784,1650000.0000,"39 Royal Rd,, Muizenberg, Cape Town",Apartment / Flat,,1.0,1.0,1.0,,1.0,,,,,,,
1235,2.0,2.0,1.0,102 m²,1.0,10 July 2020,108856764,2695000.0000,"Sea Point, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
1236,1.5,2.0,,73 m²,1.0,25 June 2020,108799781,1850000.0000,"Vredehoek, Cape Town",Apartment / Flat,,,,1.0,,1.0,,,,,,,
1237,1.0,2.0,,65 m²,,09 July 2020,108854284,2569000.0000,"Zonnebloem, Cape Town",Apartment / Flat,68 m²,,1.0,1.0,,1.0,,,,,,,
1238,2.0,4.0,,150 m²,,03 June 2020,108702439,4950000.0000,"Rosebank, Cape Town",House,490 m²,1.0,3.0,1.0,,,,,1.0,,,,
1239,1.0,2.0,,91 m²,,30 June 2020,108815753,3390000.0000,"Sea Point, Cape Town",Apartment / Flat,101 m²,1.0,1.0,,,,,,,,,,
1240,1.0,2.0,,,1.0,31 August 2020,109048526,1295000.0000,"Grassy Park, Cape Town",House,,,1.0,,,,,,,,,,
1241,1.0,1.0,,46 m²,,22 January 2020,108349838,2950000.0000,"145 Main Road, Green Point, Cape Town",Apartment / Flat,,,1.0,1.0,,,,,,,,,
1242,2.0,2.0,,83 m²,,09 July 2020,108854757,2150000.0000,"Tokai, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,,,,,,
1243,2.0,3.0,,166 m²,1.0,23 June 2020,108792506,3500000.0000,"Marina Da Gama, Cape Town",House,629 m²,1.0,1.0,,,,,,,,,,
1244,4.0,4.0,,,1.0,09 June 2020,108723580,7995000.0000,"7 Bennington Road, Tamboerskloof, Cape Town",House,314 m²,1.0,,1.0,,,,,1.0,,,,
1245,3.0,3.0,,,4.0,18 June 2020,108775777,6900000.0000,"Constantia, Cape Town",House,,,,1.0,1.0,,,,,,,,
1246,1.0,2.0,,,1.0,18 March 2020,108584134,4450000.0000,"12 Ivy Street, Gardens, Cape Town",House,180 m²,1.0,,,,,,,,,,,
1247,2.0,3.0,,,1.0,14 July 2020,108868661,5900000.0000,"Kenilworth Upper, Cape Town",House,243 m²,1.0,,,,,1.0,,,,,,
1248,2.0,2.0,,,,08 May 2020,108651344,3250000.0000,"75 Balfour Street, Woodstock, Cape Town",House,152 m²,1.0,,,,,,,,1.0,,,
1249,1.0,1.0,,77 m²,1.0,09 June 2020,108725074,2195000.0000,"34 Shortmarket Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
1250,2.0,3.0,,124 m²,2.0,13 July 2020,108862051,7495000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
1251,1.0,3.0,,,,14 February 2020,108445040,6450000.0000,"Gardens, Cape Town",House,560 m²,,,,,1.0,,,,,,,
1252,1.0,0.5,1.0,42 m²,,06 April 2020,108614976,1770000.0000,"85 Albert Rd, Woodstock, Cape Town",Apartment / Flat,,,1.0,1.0,1.0,,,1.0,,,,,
1253,1.0,1.0,,46 m²,,07 August 2020,108963187,845000.0000,"Muizenberg, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
1254,1.0,1.0,1.0,56 m²,1.0,14 April 2020,108622991,1850000.0000,"59 Exner Avenue, Vredehoek, Cape Town",Apartment / Flat,56 m²,,,,,,,,,,,,
1255,1.0,0.5,,40 m²,,24 June 2020,106842666,1475000.0000,"Gardens, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1256,1.0,1.0,1.0,,,27 August 2020,109035718,1499995.0000,"75 Harrington Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
1257,2.0,2.0,,96 m²,,20 July 2020,108890324,2495000.0000,"Diep River, Cape Town",Apartment / Flat,,1.0,,,,,1.0,,,,,,
1258,6.0,6.0,,,7.0,03 July 2020,108831617,6500000.0000,"Plumstead, Cape Town",House,1 345 m²,,3.0,1.0,1.0,,,,1.0,,,,
1259,1.0,2.0,,46 m²,,08 July 2020,108849342,2050000.0000,"Zonnebloem, Cape Town",Apartment / Flat,51 m²,,1.0,1.0,,1.0,,,,,,,
1260,2.0,5.0,,,,28 August 2020,109042274,13000000.0000,"Woodstock, Cape Town",House,,,,,1.0,,,,,,,,
1261,1.0,2.0,,70 m²,,09 July 2020,108854565,2180000.0000,"Zonnebloem, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,,,,,,
1262,2.5,3.0,,219 m²,2.0,02 September 2020,109059377,4990000.0000,"Kenilworth Upper, Cape Town",Townhouse,,,,1.0,,1.0,,,,,,,
1263,4.0,4.0,,450 m²,2.0,22 May 2020,107015927,16900000.0000,"Tamboerskloof, Cape Town",House,496 m²,,,1.0,1.0,,,,,,,,
1264,1.0,0.5,,44 m²,,09 June 2020,108724077,2550000.0000,"Green Point, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,,,,,,
1265,1.0,3.0,,67 m²,,02 July 2020,108827316,1299000.0000,"7 Springfield Terrace, Zonnebloem, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1266,1.0,2.0,,82 m²,,22 June 2020,108787692,2495000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
1267,1.0,3.0,,,,21 July 2020,108896294,1495000.0000,"Heathfield, Cape Town",House,,1.0,2.0,1.0,,,,,,,,,
1268,3.0,3.0,,,2.0,15 July 2020,108873041,2450000.0000,"Marina Da Gama, Cape Town",House,650 m²,,1.0,1.0,,,,,,,,,
1269,2.0,4.0,,,3.0,29 June 2020,108812642,15995000.0000,"Constantia, Cape Town",House,8 293 m²,1.0,,1.0,,,6.0,,,,,,
1270,3.0,3.0,,,2.0,23 July 2020,108907079,17385000.0000,"Fresnaye, Cape Town",House,,1.0,,1.0,,,,,,,,,
1271,2.0,3.0,,,,23 July 2020,108904726,1650000.0000,"Wynberg, Cape Town",House,240 m²,1.0,,,,,,,,,,,
1272,2.0,2.0,,94 m²,1.0,17 July 2020,107452207,2450000.0000,"24 Queens Park Avenue, Woodstock, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1273,1.0,1.0,,38 m²,,29 July 2020,108927075,1350000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1274,2.0,2.0,,99 m²,,20 July 2020,108889803,4200000.0000,"De Waterkant, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
1275,3.0,4.0,,144 m²,1.0,27 June 2020,108807511,2350000.0000,"Plumstead, Cape Town",Townhouse,226 m²,,1.0,,,,,,,,,,
1276,1.5,2.0,,125 m²,,08 July 2020,108848776,2550000.0000,"Kenilworth Upper, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
1277,,,,,,22 July 2020,108898743,1199000.0000,"Claremont, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1278,6.5,7.0,,354 m²,,17 July 2020,108884273,7850000.0000,"13 Schilpadvlei Road, Constantia, Cape Town",House,3 380 m²,1.0,10.0,1.0,1.0,,,,1.0,,,1.0,
1279,4.0,4.0,,212 m²,1.0,12 March 2020,108561285,15750000.0000,"29 Beach Road, Mouille Point, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,,
1280,2.0,3.0,1.0,,,13 July 2020,108864752,1895000.0000,"58 Devon Street, Woodstock, Cape Town",House,161 m²,1.0,,,,,,,,,,,
1281,3.0,5.0,,,2.0,11 June 2020,108734585,4375000.0000,"Constantia, Cape Town",House,873 m²,1.0,,1.0,,,,,,,,,
1282,4.0,5.0,,,2.0,27 July 2020,108915226,7995000.0000,"Claremont Upper, Cape Town",House,732 m²,,,,,,,,,,,,
1283,1.0,3.0,,,1.0,10 August 2020,108968852,795000.0000,"Seawinds, Cape Town",House,240 m²,1.0,3.0,,,,,,,,,,
1284,,,,,,13 July 2020,108862591,3000000.0000,"Claremont Upper, Cape Town",Apartment / Flat,3 742 m²,1.0,,1.0,,,1.0,,,,,,
1285,1.0,1.0,,,,03 September 2020,109063112,1500000.0000,"Vredehoek, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
1286,1.0,,,38 m²,,08 July 2020,108848151,1050000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1287,3.0,4.0,,,1.0,08 July 2020,108845732,4900000.0000,"Claremont Upper, Cape Town",House,403 m²,1.0,,,1.0,,2.0,,,,,,
1288,3.0,2.0,,108 m²,,26 August 2020,109035329,8400000.0000,"Fresnaye, Cape Town",Apartment / Flat,,,2.0,,,1.0,,,,,,,
1289,1.0,1.0,1.0,64 m²,,24 June 2020,108796246,1195000.0000,"Wynberg Upper, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
1290,4.0,4.0,,,2.0,23 July 2020,108904554,5450000.0000,"Constantia, Cape Town",House,1 365 m²,1.0,2.0,,,,,,,,,,
1291,1.5,1.0,1.0,74 m²,1.0,01 April 2020,108609996,3250000.0000,"33 Davenport Road, Vredehoek, Cape Town",Apartment / Flat,74 m²,,1.0,1.0,,,,,,,,,
1292,4.5,4.0,,,2.0,23 August 2019,107865250,6495000.0000,"21 Parish Road, Constantia, Cape Town",House,1 665 m²,1.0,,1.0,,,,,,,,,
1293,1.0,1.0,,47 m²,,02 July 2020,108822891,1795000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
1294,2.5,4.0,,,2.0,15 July 2020,108875279,8995000.0000,"Constantia, Cape Town",House,3 283 m²,1.0,8.0,1.0,1.0,,,,,,,,
1295,2.0,2.0,,119 m²,,16 July 2020,108878103,3499000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,,,,,,
1296,1.0,1.0,1.0,72 m²,,27 April 2020,108637031,3150000.0000,"45 Main Rd, Green Point, Cape Town",Apartment / Flat,2 000 m²,,1.0,1.0,,1.0,,,,,,,
1297,2.0,2.0,,,1.0,14 July 2017,105369199,16000000.0000,"25 Beta Road, Bakoven, Cape Town",House,211 m²,1.0,,,,,,,,,,,
1298,1.0,1.0,,50 m²,1.0,25 May 2020,108682120,1395000.0000,"1 Hans Strijdom Street, Cape Town City Centre, Cape Town",Apartment / Flat,50 m²,,,,,,,,,,,,
1299,2.0,4.0,,,2.0,10 July 2020,108858816,2250000.0000,"Pelican Park, Cape Town",House,300 m²,,1.0,,,,,,,,,,
1300,1.0,3.0,,,,31 July 2020,108937263,350000.0000,"Philippi East, Cape Town",House,162 m²,,,,1.0,,,,,,,,
1301,1.0,0.5,,32 m²,,13 July 2020,108862349,999000.0000,"Zonnebloem, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,,,,,,
1302,2.0,2.0,,,,27 July 2020,108917944,2099000.0000,"Observatory, Cape Town",Apartment / Flat,,,1.0,1.0,,,,,,,,,
1303,8.0,6.0,,500 m²,4.0,22 June 2020,108785913,5950000.0000,"Muizenberg, Cape Town",House,574 m²,,,1.0,,,,,1.0,,,,
1304,1.0,1.0,,50 m²,,23 March 2020,108596619,1795000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,,,,,,,,
1305,2.0,2.5,,169 m²,1.0,31 March 2020,108608434,2500000.0000,"316 Main Road, Wynberg Upper, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1306,4.5,4.0,,,2.0,18 March 2020,108581394,6495000.0000,"21 Parish Road, Constantia, Cape Town",House,1 665 m²,1.0,6.0,1.0,1.0,,,,,,,,
1307,3.0,2.0,,108 m²,,26 August 2020,109035329,8400000.0000,"Fresnaye, Cape Town",Apartment / Flat,,,2.0,,,1.0,,,,,,,
1308,1.0,1.0,1.0,64 m²,,24 June 2020,108796246,1195000.0000,"Wynberg Upper, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
1309,4.0,5.0,,,2.0,08 June 2020,108717035,8400000.0000,"2 Milner Road, Rondebosch, Cape Town",House,1 331 m²,,,1.0,,,6.0,,,,,,
1310,3.0,4.0,,,2.0,22 July 2020,108899878,4995000.0000,"Constantia, Cape Town",House,726 m²,,5.0,1.0,,,,,1.0,,,,
1311,5.0,7.0,,,2.0,21 July 2020,108896192,7495000.0000,"Vredehoek, Cape Town",House,541 m²,1.0,3.0,,1.0,,,,1.0,,,,
1312,2.5,2.0,,190 m²,,21 May 2020,108677048,9995000.0000,"Mouille Point, Cape Town",Apartment / Flat,,1.0,2.0,1.0,1.0,,,,,,,,
1313,2.0,2.0,,,1.0,07 July 2017,104258957,15995000.0000,"25 Beta Road, Bakoven, Cape Town",House,,,,,1.0,,,,,,,,
1314,1.0,1.0,,47 m²,,02 July 2020,108822891,1795000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
1315,2.0,3.0,1.0,,,13 July 2020,108864752,1895000.0000,"58 Devon Street, Woodstock, Cape Town",House,161 m²,1.0,,,,,,,,,,,
1316,2.0,2.0,,119 m²,,16 July 2020,108878103,3499000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,,,,,,
1317,1.0,1.0,,84 m²,,01 July 2020,108821741,2750000.0000,"De Waterkant, Cape Town",Apartment / Flat,,,1.0,,,1.0,,,,,,,
1318,6.0,6.0,,,1.0,09 July 2020,108854846,7400000.0000,"18 Belladonna Avenue, Vredehoek, Cape Town",House,543 m²,,1.0,,,,,,,,,,
1319,2.0,2.0,,86 m²,,27 January 2020,108369818,2675000.0000,"25 Wilderness Avenue, Claremont Upper, Cape Town",Apartment / Flat,86 m²,1.0,,1.0,,,2.0,,,,,,
1320,3.0,2.0,,100 m²,,22 June 2020,108785420,2350000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,2.0,,,,,,
1321,3.0,5.0,,384 m²,2.0,04 November 2019,108129157,6650000.0000,"21 Strawberry Lane, Belle Constantia, Cape Town",House,2 019 m²,1.0,13.0,1.0,1.0,,,,1.0,,,,
1322,3.0,4.0,,256 m²,3.0,16 July 2020,108879875,3600000.0000,"Rondebosch East, Cape Town",House,496 m²,,,1.0,,1.0,,,,,,,
1323,6.0,6.0,,,2.0,01 June 2020,108695715,31500000.0000,"5a Spilhaus Avenue, Constantia, Cape Town",House,4 006 m²,,,1.0,,,2.0,,,,,,
1324,1.0,2.0,,,,14 August 2020,108988001,430000.0000,"Pelican Park, Cape Town",House,,,,,,,,,,,,,
1325,1.0,,,29 m²,1.0,02 July 2020,108824018,995000.0000,"Vredehoek, Cape Town",Apartment / Flat,,,,1.0,,1.0,,,,,,,
1326,1.0,0.5,,41 m²,,23 June 2020,108792109,1765000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
1327,1.0,2.0,,86 m²,,06 June 2020,108715300,1100000.0000,"13a Station Rd, Maitland, Cape Town",Townhouse,,,,,1.0,,,,,,,,
