,Bathrooms,Bedrooms,Floor Size,Listing Date,Listing Number,Price,Town,Type of Property,Furnished,Parking,Pet Friendly,Pool,No Pets Allowed,Erf Size,Garages,Garden,Secure Parking,Fibre Internet,Flatlet,Satellite Internet,ADSL Internet
475,8.0,8.0,,06 February 2020,108409602,5500000.0000,"18 Mount Road, Muizenberg, Cape Town",House,,,,,,494 m²,,1.0,,,,,
476,1.0,1.0,60 m²,06 January 2020,108291499,1295000.0000,"267 Victoria, Woodstock, Cape Town",Apartment / Flat,,,,,,60 m²,,,1.0,,,,
477,4.5,4.0,700 m²,02 October 2019,107998647,29995000.0000,"19 The Meadows Road, Camps Bay, Cape Town",House,,,,1.0,,887 m²,2.0,1.0,,,,,
478,1.0,,55 m²,14 January 2020,108317143,3450000.0000,"Mouille Grange, 33 Beach Road, Mouille Point, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
479,3.5,3.0,267 m²,28 January 2019,107132771,19495000.0000,"20 Regent Road, Sea Point, Cape Town",Apartment / Flat,,,,1.0,,,,,2.0,,,,
480,1.0,2.0,84 m²,15 July 2020,108871615,995000.0000,"Diep River, Cape Town",Apartment / Flat,,1.0,,,,83 m²,,,,,,,
481,1.5,1.0,84 m²,11 September 2019,107933023,1750000.0000,"17 Ateliers On Park, Salt River, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,,
482,3.0,3.0,157 m²,09 October 2018,106826815,7800000.0000,"15 Worcester Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
483,3.0,4.0,325 m²,28 August 2018,105672855,7150000.0000,"2 Perth Road, Rondebosch, Cape Town",House,,6.0,,,,1 350 m²,1.0,,,,,,
484,1.0,,36 m²,18 October 2019,108074081,1200000.0000,"157 Beach Road, Mouille Point, Cape Town",Apartment / Flat,,,,,,,,1.0,,,,,
485,1.0,2.0,,02 June 2020,108698649,1550000.0000,"Tokai, Cape Town",Apartment / Flat,,1.0,,1.0,,69 m²,1.0,1.0,,,,,
486,1.0,1.0,48 m²,16 October 2019,108064508,1595000.0000,"14 Darling Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,1.0,,,,
487,2.0,2.0,61 m²,30 July 2019,107764733,1640000.0000,"3a Howe Street, Observatory, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
488,1.0,1.0,42 m²,03 July 2019,107661742,1725000.0000,"88 St Georges Mall, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,,
489,1.0,2.0,107 m²,28 April 2020,108638934,6899000.0000,"Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,1.0,,,,,,
490,1.0,2.0,,08 June 2020,108720466,3200000.0000,"Mouille Point, Cape Town",Apartment / Flat,,,,,,70 m²,1.0,,,,,,
491,1.0,1.0,43 m²,20 May 2020,108674487,1360000.0000,"Observatory, Cape Town",Apartment / Flat,,,,1.0,,,1.0,,,,,,
492,2.0,3.0,170 m²,18 October 2019,108072739,12000000.0000,"10 Steensway, Llandudno, Cape Town",Townhouse,,,,,,422 m²,,,,,,,
493,5.0,6.0,,29 October 2019,108108307,3750000.0000,"Lady May Street, Athlone, Cape Town",House,,1.0,,,,496 m²,1.0,,,,,,
494,4.0,4.0,,15 October 2019,108058760,7800000.0000,"19 Grimsby Road, Three Anchor Bay, Cape Town",House,,,1.0,1.0,,443 m²,2.0,1.0,,,,,
495,1.0,1.0,45 m²,06 April 2020,108615439,1595000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
496,2.0,2.0,77 m²,01 October 2019,107993010,2150000.0000,"3a Howe Street, Observatory, Cape Town",Apartment / Flat,,,,1.0,,,,,1.0,,,,
497,3.0,3.0,,25 November 2019,108214764,7800000.0000,"11 Bertram Road, Sea Point, Cape Town",House,,,1.0,1.0,,209 m²,2.0,,,,,,
498,1.0,1.0,,04 August 2020,108948340,399000.0000,"Wynberg, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
499,4.0,5.0,350 m²,11 November 2019,108155926,13900000.0000,"16 Horak Avenue, Camps Bay, Cape Town",House,,,,1.0,,757 m²,2.0,,,,1.0,,
500,2.0,3.0,227 m²,30 April 2020,108641707,5500000.0000,"11 Gladiolus Close, Vredehoek, Cape Town",House,,,1.0,,,,1.0,1.0,,,,,
501,1.0,1.0,38 m²,10 February 2020,108421957,1449000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,,
502,5.0,5.0,,18 December 2019,108274727,10950000.0000,"18 Rathfelder, Constantia, Cape Town",House,,,,1.0,,1 508 m²,2.0,1.0,2.0,,,,
503,4.0,4.0,296 m²,12 November 2018,106940651,6500000.0000,"268 Main Road, St James, Cape Town",Apartment / Flat,,,,,,296 m²,2.0,,,,,,
504,5.0,4.0,,02 June 2020,108701021,6995000.0000,"Upper Buitenkant Street 179, Oranjezicht, Cape Town",House,,,,,,561 m²,1.0,,,1.0,,,
505,3.0,4.0,,09 March 2020,108546031,8900000.0000,"Oranjezicht, Cape Town",House,,,1.0,1.0,,389 m²,,,,,,,
506,2.0,2.0,158 m²,09 October 2018,106825610,4950000.0000,"2a Cotswold Avenue, Oranjezicht, Cape Town",Apartment / Flat,,,1.0,,,,2.0,,,,,,
507,1.0,2.0,86 m²,07 July 2017,105345660,5048000.0000,"Green Point, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
508,1.0,2.0,65 m²,15 June 2020,108764786,1795000.0000,"3 Ravenscraig Street, Woodstock, Cape Town",Apartment / Flat,,1.0,,,,,,,,1.0,,,
509,1.0,2.0,80 m²,30 April 2020,108641083,3500000.0000,"2 De Lorentz Street, Gardens, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
510,6.0,6.0,,07 October 2019,106023409,20800000.0000,"10 Trek Road, Higgovale, Cape Town",House,,4.0,1.0,1.0,,1 363 m²,2.0,,,,,,
511,1.0,1.0,70 m²,12 July 2019,107698689,2395000.0000,"Intaba 25 Protea Road, Claremont Upper, Cape Town",Apartment / Flat,,,,1.0,,,1.0,,,,,,
512,4.0,5.0,,12 June 2020,108736289,1195000.0000,"38 Keating Way, Ocean View, Cape Town",House,,1.0,1.0,,,364 m²,1.0,1.0,,,1.0,,
513,1.0,1.0,43 m²,30 August 2019,107890033,995000.0000,"208 Chelsea Mews, 1 Oak Avenue, Wynberg Upper, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
514,5.5,5.0,600 m²,29 January 2018,105976570,29000000.0000,"61 Strathmore Road, Camps Bay, Cape Town",House,,,,,,694 m²,4.0,,,,,,
515,2.0,2.0,,13 September 2019,107940678,5995000.0000,"23 Bellevue Street, Higgovale, Cape Town",House,,2.0,1.0,,,213 m²,,,,,,,
516,3.0,4.0,339 m²,12 September 2019,107936786,10800000.0000,"9 St James Road, St James, Cape Town",House,,,1.0,,,550 m²,1.0,1.0,3.0,,,,
517,2.0,2.0,117 m²,03 May 2018,106296180,3995000.0000,"25 Protea, Claremont Upper, Cape Town",Apartment / Flat,,,,,,,2.0,,,,,,
518,3.5,4.0,,16 September 2019,107944442,6400000.0000,"10 Croxteth Road, Green Point, Cape Town",House,,,1.0,,,140 m²,1.0,,,,,,
519,2.0,4.0,,04 June 2019,107566856,6950000.0000,"6 Belle Ombre Road, Tamboerskloof, Cape Town",House,,1.0,,1.0,,400 m²,1.0,,,,,,
520,2.0,2.0,94 m²,29 April 2019,107446043,2995000.0000,"713 Napier Street, De Waterkant, Cape Town",Apartment / Flat,,,,1.0,,,,,1.0,,,,
521,1.0,,33 m²,10 January 2020,108307099,1250000.0000,"14 Jetty Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,1.0,,,
522,1.0,2.0,64 m²,03 September 2019,107901397,1850000.0000,"3a Howe Street, Observatory, Cape Town",Apartment / Flat,,,,1.0,1.0,,2.0,,,,,,
523,1.0,1.0,,08 July 2020,108847432,2650000.0000,"Woodstock, Woodstock, Cape Town",Apartment / Flat,,,,,,,1.0,1.0,,1.0,,,
524,1.0,1.0,72 m²,22 May 2019,107523399,5999000.0000,"Waterclub, Beach Road, Mouille Point, Cape Town",Apartment / Flat,,1.0,,1.0,,72 m²,,,,,,,
525,1.0,1.0,78 m²,11 July 2019,107693255,3500000.0000,"1 Cast Anchor Way, Foreshore, Cape Town",Apartment / Flat,,,,1.0,,,,,1.0,,,,
526,3.0,5.0,,24 October 2019,108094112,10250000.0000,"10 Irene Road, Claremont Upper, Cape Town",House,,4.0,,1.0,,725 m²,2.0,1.0,,,,,
527,2.0,3.0,107 m²,14 February 2020,108445464,3750000.0000,"Bergvliet, Cape Town",House,,3.0,,,,426 m²,1.0,1.0,,,,,
528,1.0,1.0,68 m²,14 August 2019,107827759,1685760.0000,"Diep River, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
529,2.5,3.0,,10 September 2019,107924654,3795000.0000,"19 Chateau Circle, Constantia, Cape Town",House,,2.0,1.0,1.0,,698 m²,2.0,1.0,,,,,
530,2.0,3.0,139 m²,13 November 2019,108163600,9950000.0000,"2 Isadore Cohen Place, Camps Bay, Cape Town",Apartment / Flat,,,,1.0,,,1.0,,,,,,
531,1.0,,42 m²,23 December 2019,108281016,1550000.0000,"70 Queen Victoria Street, Cape Town City Centre, Cape Town",Apartment / Flat,1.0,,1.0,1.0,,,,1.0,,,,,
532,2.0,2.0,,25 June 2020,108800384,1199000.0000,"36 Melville Road, Ottery, Cape Town",Apartment / Flat,,1.0,,,,,,1.0,,1.0,,,
533,1.0,3.0,,18 August 2020,109002865,2995000.0000,"Mowbray, Cape Town",House,,7.0,,,,598 m²,,1.0,,,,,
534,1.0,2.0,,06 December 2019,108249713,5250000.0000,"14 Ivy Street, Gardens, Cape Town",House,,,,,,183 m²,1.0,,,,,,
535,2.0,2.0,149 m²,10 April 2019,107392108,13750000.0000,"Waterfront, Cape Town",Apartment / Flat,,,,,,149 m²,,,2.0,,,,
536,2.0,3.0,118 m²,16 July 2019,107707299,2445000.0000,"Wisteria, 8 Wisteria Road, Claremont Upper, Cape Town",Townhouse,,2.0,,,,,,1.0,,,,,
537,1.0,1.0,67 m²,06 August 2019,107797446,6700000.0000,"Waterfront, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,1.0,,,,,
538,3.0,4.0,250 m²,16 September 2019,107945668,11950000.0000,"Fresnaye, Cape Town",House,,,,,,401 m²,4.0,,,,,,
539,1.0,2.0,,23 August 2019,107862977,2135000.0000,"85 Arnold Street, Observatory, Cape Town",House,,,1.0,,,118 m²,,,,,,,
540,5.0,4.0,718 m²,13 September 2019,107939452,26500000.0000,"11 Signal View Close, Tamboerskloof, Cape Town",House,,,1.0,1.0,,,4.0,,,,,,
541,1.0,2.0,75 m²,18 September 2018,106762858,1095000.0000,"9 Morom, Wynberg, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
542,3.0,3.0,,21 January 2020,108343870,4450000.0000,"37 Camberwell Road, Crawford, Cape Town",House,,,1.0,1.0,,546 m²,6.0,,1.0,,,,
543,2.5,2.0,,12 August 2019,107815516,6999000.0000,"13 Kings Road, Sea Point, Cape Town",House,,1.0,,,,200 m²,1.0,1.0,,,,,
544,2.0,2.0,130 m²,02 March 2020,108517369,2990000.0000,"Gardens, Cape Town",House,,,1.0,,,156 m²,2.0,,,,,,
545,2.0,1.0,61 m²,12 March 2020,108563374,1995000.0000,"17 Cambridge Street, Walmer Estate, Cape Town",Apartment / Flat,,1.0,,,,,1.0,,,1.0,,,
546,1.0,,,27 June 2020,108807710,1195000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,,,,,,,,,,
547,1.0,1.0,41 m²,12 July 2019,107697552,4950000.0000,"Brighton Court, 91 Camps Bay Drive, Camps Bay, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
548,5.0,5.0,,31 August 2019,106040400,10850000.0000,"21 Klaasenbosch Drive, Constantia, Cape Town",House,,,,1.0,1.0,2 112 m²,3.0,,,,1.0,,
549,2.0,2.0,93 m²,06 August 2019,107801547,5414050.0000,"Strand Beach, 243 High Level Road, Sea Point, Cape Town",Apartment / Flat,,1.0,1.0,1.0,,,,,,1.0,,,
550,3.5,3.0,442 m²,21 July 2020,108896272,29999000.0000,"31 Oudekraal Road, Camps Bay, Cape Town",House,,2.0,1.0,1.0,,,2.0,,,,,,
551,2.0,2.0,129 m²,13 August 2019,107820030,4295000.0000,"702 Montclare Place, 35 Main Road, Claremont, Cape Town",Apartment / Flat,,,,,,,2.0,1.0,,,,,
552,2.0,1.0,272 m²,28 April 2020,108638557,3250000.0000,"6b Polo Road, Observatory, Cape Town",House,,,1.0,1.0,,272 m²,1.0,1.0,,1.0,,,
553,1.0,1.0,61 m²,01 August 2019,107775060,4284000.0000,"Strand Beach, 243 High Level Road, Sea Point, Cape Town",Apartment / Flat,,1.0,1.0,1.0,,,,,,1.0,,,
554,2.0,3.0,171 m²,05 August 2019,107795217,2950000.0000,"103 Dolphin Place, 1 Main Road, Kenilworth Upper, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
555,1.0,1.0,57 m²,17 February 2020,108451738,1650000.0000,"University Estate, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
556,1.0,3.0,,10 June 2020,108727802,799000.0000,"Seawinds, Cape Town",House,,1.0,,,,240 m²,1.0,,,,,,
557,8.0,12.0,,08 January 2020,108299308,21000000.0000,"8 Ridge Walk, Constantia Heights, Bishopscourt, Cape Town",House,,10.0,,,,4 262 m²,3.0,1.0,,,,,
558,2.5,3.0,133 m²,03 October 2019,108003618,6750000.0000,"28 Chas Booth Avenue, Camps Bay, Cape Town",Apartment / Flat,,,,,,,,,2.0,,,,
559,1.0,1.0,40 m²,03 December 2019,108238990,1400000.0000,"8 Harfield Road, Claremont Upper, Cape Town",Apartment / Flat,,1.0,,,,769 m²,,,,1.0,,,
560,1.0,1.0,67 m²,06 August 2019,107797446,6700000.0000,"Waterfront, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,1.0,,,,,
561,1.0,2.0,127 m²,13 December 2019,108266503,4200000.0000,"1a Santa Barbara, St Johns Road, Sea Point., Sea Point, Cape Town",Apartment / Flat,,,,,,,1.0,,,1.0,,,
562,2.5,2.0,262 m²,06 August 2019,107801553,7599050.0000,"Strand Beach, 243 High Level Road, Sea Point, Cape Town",Apartment / Flat,,2.0,1.0,1.0,,,,,,1.0,,,
563,1.0,2.0,65 m²,06 March 2019,107272730,2150000.0000,"39 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,1.0,65 m²,,,,1.0,,,
564,2.0,4.0,,17 March 2020,108577855,2825000.0000,"28 White Road, Plumstead, Cape Town",House,,6.0,,,,,1.0,,,,1.0,,
565,1.0,2.0,82 m²,17 September 2019,107952306,3450000.0000,"Apartment 201 Forty On L, 40 Lion Street, Bo Kaap, Bo Kaap, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,1.0,,,
566,4.0,5.0,,30 May 2020,108694034,12500000.0000,"Tamboerskloof, Cape Town",House,,,1.0,,,,4.0,1.0,,,1.0,,
567,1.5,3.0,130 m²,04 October 2019,108008565,4250000.0000,"2 Chelsea Walk, Bantry Bay, Cape Town",House,,,1.0,,,172 m²,,1.0,,,,,
568,3.0,6.0,,08 July 2020,108845649,2490000.0000,"Wynberg, Cape Town",House,,1.0,,,,,,,,,,,
569,1.0,,,27 June 2020,108807710,1195000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,,,,,,,,,,
570,2.0,3.0,,20 September 2019,107967672,3295000.0000,"49 Balfour Street, Woodstock, Cape Town",House,,,,,,148 m²,,,2.0,,,,
571,1.0,1.0,91 m²,20 April 2020,108628936,1750000.0000,"Observatory, Cape Town",Apartment / Flat,,,1.0,,,91 m²,1.0,,,1.0,,,
572,2.5,3.0,144 m²,08 May 2020,108652190,3850000.0000,"Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
573,2.0,1.0,272 m²,28 April 2020,108638557,3250000.0000,"6b Polo Road, Observatory, Cape Town",House,,,1.0,1.0,,272 m²,1.0,1.0,,1.0,,,
574,1.0,1.0,61 m²,01 August 2019,107775060,4284000.0000,"Strand Beach, 243 High Level Road, Sea Point, Cape Town",Apartment / Flat,,1.0,1.0,1.0,,,,,,1.0,,,
575,2.0,3.0,139 m²,10 November 2019,108151405,8250000.0000,"Sea Point, Cape Town",Apartment / Flat,,2.0,,,,139 m²,,,,,,,
576,5.5,5.0,1395 m²,24 August 2019,107867887,49000000.0000,"7 Monterey Drive, Constantia, Cape Town",House,,8.0,,1.0,,9 042 m²,7.0,1.0,,,,,
577,1.0,2.0,90 m²,29 March 2019,107352888,3250000.0000,"3 Milner Road, Tamboerskloof, Cape Town",Apartment / Flat,,,,,,,1.0,,1.0,,,,
578,8.0,12.0,,08 January 2020,108299308,21000000.0000,"8 Ridge Walk, Constantia Heights, Bishopscourt, Cape Town",House,,10.0,,,,4 262 m²,3.0,1.0,,,,,
579,2.5,3.0,133 m²,03 October 2019,108003618,6750000.0000,"28 Chas Booth Avenue, Camps Bay, Cape Town",Apartment / Flat,,,,,,,,,2.0,,,,
580,1.0,1.0,40 m²,03 December 2019,108238990,1400000.0000,"8 Harfield Road, Claremont Upper, Cape Town",Apartment / Flat,,1.0,,,,769 m²,,,,1.0,,,
581,2.0,2.0,63 m²,15 June 2020,108764149,1685000.0000,"Diep River, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,,
582,1.0,1.0,68 m²,18 March 2019,107314467,3800000.0000,"2 De Lorenz Street, Gardens, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
583,1.0,2.0,127 m²,13 December 2019,108266503,4200000.0000,"1a Santa Barbara, St Johns Road, Sea Point., Sea Point, Cape Town",Apartment / Flat,,,,,,,1.0,,,1.0,,,
584,2.5,2.0,262 m²,06 August 2019,107801553,7599050.0000,"Strand Beach, 243 High Level Road, Sea Point, Cape Town",Apartment / Flat,,2.0,1.0,1.0,,,,,,1.0,,,
585,1.0,2.0,65 m²,06 March 2019,107272730,2150000.0000,"39 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,1.0,65 m²,,,,1.0,,,
586,2.0,2.0,88 m²,11 September 2019,107929344,4950000.0000,"2002 Stonehill Place, Cape Town City Centre, Cape Town",Apartment / Flat,,2.0,,,,,,,,,,,
587,3.0,6.0,,08 July 2020,108845649,2490000.0000,"Wynberg, Cape Town",House,,1.0,,,,,,,,,,,
588,2.0,2.0,84 m²,19 November 2019,108193605,2995000.0000,"236 Main Road, Claremont Upper, Cape Town",Apartment / Flat,,2.0,,,,,,,,,,,
589,2.0,2.0,164 m²,07 August 2019,107804458,5175000.0000,"St George's Mall, Cape Town City Centre, Cape Town",Apartment / Flat,,2.0,,,,,,,,,,,
590,1.0,1.0,43 m²,02 June 2020,108701294,610000.0000,"Kensington, Cape Town",Apartment / Flat,,,,,,,,,,,,,
591,2.5,3.0,144 m²,08 May 2020,108652190,3850000.0000,"Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
592,1.0,,40 m²,21 January 2020,108346452,4485000.0000,"57 Victoria Road, Clifton, Cape Town",Apartment / Flat,,,,,,,,,,,,,
593,4.5,4.0,364 m²,09 December 2019,108255240,55000000.0000,"Clifton, Cape Town",Apartment / Flat,,2.0,,1.0,1.0,,,,,,,,
594,1.0,2.0,77 m²,14 June 2019,107603755,1400000.0000,"51 Main Road, Plumstead, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
595,3.0,3.0,441 m²,06 June 2020,108714336,27000000.0000,"Camps Bay, Cape Town",House,,,1.0,1.0,,595 m²,2.0,,,,1.0,,
596,3.0,3.0,192 m²,03 December 2019,108240044,2850000.0000,"131 Main Road, Muizenberg, Cape Town",Apartment / Flat,,2.0,,,1.0,6 442 m²,,,,,,,
597,3.0,3.0,,31 May 2020,108694899,14900000.0000,"Fresnaye, Cape Town",House,,,,1.0,,1 250 m²,,,5.0,,,,
598,1.0,,42 m²,25 March 2020,108601735,1449000.0000,"Mouille Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
599,2.0,3.0,,07 May 2020,108650667,6950000.0000,"Vredehoek, Cape Town",House,,,,1.0,,262 m²,2.0,1.0,,,,,
600,1.0,,42 m²,18 February 2019,107212106,1795000.0000,"Bevendale, 25 St Johns Road, Sea Point, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
601,1.0,2.0,,06 August 2020,108959683,3950000.0000,"Claremont Upper, Cape Town",House,,2.0,,,,190 m²,,,,1.0,,,
602,3.5,4.0,227 m²,28 July 2017,105420347,14950000.0000,"6a Saunders Road, Bantry Bay, Cape Town",House,1.0,4.0,,,1.0,200 m²,,,,,,,
603,3.0,4.0,257 m²,20 August 2019,107852680,9250000.0000,"3 New Court At Alphen, Constantia, Cape Town",Townhouse,,,,,,,,1.0,2.0,,,,
604,4.0,5.0,450 m²,25 March 2020,108601259,12750000.0000,"Newlands, Cape Town",House,,2.0,,1.0,,496 m²,2.0,1.0,,,,,
605,2.0,2.0,72 m²,04 September 2019,107906802,4003000.0000,"2 Riebeek, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
606,3.0,7.0,,08 May 2020,108651617,4850000.0000,"10 Nursery Road, Rondebosch, Cape Town",House,,,,,,403 m²,,1.0,4.0,,,,
607,1.0,1.0,,24 June 2020,108796196,2800000.0000,"10 Quendon Road, Sea Point, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
608,3.0,5.0,,13 September 2019,107941391,6900000.0000,"5 Old Boyes Drive, Muizenberg, Cape Town",House,,,,1.0,,735 m²,2.0,1.0,,,,,
609,1.0,1.0,50 m²,13 June 2019,107599554,1850000.0000,"1 Hans Strijdom Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,,
610,2.0,3.0,118 m²,04 July 2019,107667448,2445000.0000,"Wisteria, 8 Wisteria Road, Claremont Upper, Cape Town",Apartment / Flat,,2.0,,,,,,1.0,,,,,
611,2.0,2.0,68 m²,08 October 2019,108033246,2499000.0000,"104 The Wentworth, Kenilworth, Cape Town",Apartment / Flat,,,,,,,2.0,,,,,,
612,2.0,3.0,,30 April 2020,107812641,1400000.0000,"Kensington, Cape Town",House,,,1.0,1.0,,267 m²,1.0,1.0,,1.0,,,
613,1.0,2.0,,25 June 2020,108799753,1250000.0000,"Plumstead, Cape Town",Apartment / Flat,,1.0,,,,76 m²,,,,,,,
614,2.0,2.0,62 m²,29 August 2018,106694024,5495000.0000,"4 Panorama Residences, 26 Woodford Road, Camps Bay, Cape Town",Apartment / Flat,,1.0,,1.0,,,,1.0,,,,,
615,2.0,3.0,148 m²,26 August 2019,107872244,6450000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
616,1.5,4.0,,26 February 2020,108493249,3450000.0000,"33 Lever Street, Walmer Estate, Cape Town",House,,,,,,401 m²,,1.0,,,,,
617,1.0,,59 m²,26 November 2019,108219372,1250000.0000,"31 Brickfield Road, University Estate, Cape Town",Apartment / Flat,,,,1.0,,,,,1.0,,,,
618,5.5,5.0,542 m²,15 October 2019,108055930,11900000.0000,"Constantia, Cape Town",House,,2.0,,1.0,,2 001 m²,2.0,1.0,,,,,
619,3.0,3.0,301 m²,19 February 2019,107215010,9950000.0000,"1 One Victoria Road, Bakoven, Cape Town",Apartment / Flat,,2.0,,,,,,,,,,,
620,2.0,3.0,172 m²,25 November 2019,108214636,4200000.0000,"74 Queen Victoria Road, Claremont, Cape Town",House,,4.0,1.0,,,363 m²,,,,,,,
621,1.0,2.0,,10 July 2020,108856198,1350000.0000,"Muizenberg, Cape Town",Townhouse,,1.0,,,,,1.0,,,,,,
622,9.0,11.0,,04 November 2019,108127143,45000000.0000,"99 Southern Cross Drive, Constantia, Cape Town",House,,,1.0,,,13 822 m²,2.0,1.0,,,,,
623,4.0,3.0,282 m²,10 April 2019,107391845,7950000.0000,"501 Wexford Place, 3 Wexford Road, Vredehoek, Cape Town",Apartment / Flat,,2.0,,,,,,,,,,,
624,2.0,2.0,89 m²,24 March 2020,108600150,1995000.0000,"91 Klipfontein Road, Rondebosch, Cape Town",Apartment / Flat,,1.0,,,,,1.0,,,,,,
625,2.0,2.0,155 m²,06 May 2020,108647877,10650000.0000,"Bantry Bay, Cape Town",Apartment / Flat,,2.0,1.0,1.0,,,,,,,,,
626,5.0,5.0,300 m²,03 June 2019,107560847,6495000.0000,"9 Oldfield Road, Sea Point, Cape Town",House,1.0,,1.0,1.0,,372 m²,,,,,,,
627,,,,09 August 2020,108967059,560000.0000,"1 Ontario Road, The Pines Lakeview Retreat, Retreat, Cape Town",Apartment / Flat,,1.0,,,,37 m²,,,,,,,
628,1.0,3.0,132 m²,05 September 2019,107910638,3650000.0000,"29 Balfour Street, Woodstock, Cape Town",House,,1.0,1.0,,,401 m²,1.0,,,,,,
629,1.0,1.0,49 m²,18 April 2019,107421735,2950000.0000,"51 Prestwich Street, De Waterkant, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
630,5.5,5.0,500 m²,12 January 2018,105924360,29995000.0000,"25 Central Drive, Camps Bay, Cape Town",House,,,,1.0,,496 m²,3.0,1.0,,,,,
631,1.0,2.0,,28 May 2020,108689734,1595000.0000,"601 Chezmont, 12 Bower Road, Wynberg Upper, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
632,1.5,4.0,150 m²,25 March 2020,108601762,2750000.0000,"Rondebosch East, Cape Town",House,,,,,,504 m²,1.0,,3.0,,,,
633,5.0,7.0,,07 May 2020,106087676,7500000.0000,"3 Midwood Ave, Claremont, Cape Town",House,,,,,,1 130 m²,2.0,,,,,,
634,2.0,2.0,68 m²,25 September 2019,106792624,2231000.0000,"5 Howe Street, Observatory, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
635,2.0,2.0,116 m²,23 December 2019,108281237,3295000.0000,"204 Winston Place, Green Point, Cape Town",Apartment / Flat,,2.0,,,,,,,,,,,
636,2.0,2.0,113 m²,23 March 2020,108597325,4500000.0000,"Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,,
637,1.0,2.0,79 m²,24 March 2020,108600304,2595000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
638,2.0,2.0,135 m²,13 January 2020,108313588,9500000.0000,"77. Loader Street, De Waterkant, Cape Town",House,,,,,,,,,,,,,
639,1.0,1.0,60 m²,24 May 2019,107531075,1650000.0000,"202 Evergreen, Fir Road, Rondebosch, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
640,3.0,3.0,192 m²,12 June 2020,108737052,8250000.0000,"Newlands, Cape Town",Apartment / Flat,,2.0,,1.0,,,,1.0,,,,,
641,3.0,3.0,420 m²,10 April 2019,107391716,21500000.0000,"Unit B 9 Ilkley Crescent, Sea Point, Cape Town",Apartment / Flat,,2.0,1.0,1.0,,,,,,,,,
642,4.0,4.0,,22 October 2018,106871666,13950000.0000,"11 Oudekraal Road, Camps Bay, Cape Town",House,,,,1.0,,735 m²,2.0,,,,,,
643,3.0,4.0,,24 May 2019,107530851,59950000.0000,"70 Fourth Beach, Clifton, Cape Town",House,,4.0,,1.0,,465 m²,2.0,,,,,,
644,2.0,4.0,,06 February 2019,107170344,14900000.0000,"2 The Cheviots, Camps Bay, Cape Town",House,,,,1.0,,894 m²,1.0,,,,,,
645,3.0,3.0,202 m²,22 April 2020,108632701,17500000.0000,"Sea Point, Cape Town",Apartment / Flat,,,1.0,1.0,,643 m²,2.0,,,,,,
