,Bathrooms,Bedrooms,Floor Size,Listing Date,Listing Number,Price,Town,Type of Property,Furnished,Parking,Pet Friendly,Pool,No Pets Allowed,Erf Size,Garages,Garden,Secure Parking,Fibre Internet,Flatlet,Satellite Internet,ADSL Internet
1742,1.0,1.0,50 m²,15 November 2017,105807195,2100000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,1.0,,,,,,
1743,1.0,2.0,107 m²,04 June 2019,107565538,6900000.0000,"Three Anchor Bay, Cape Town",Apartment / Flat,,,1.0,,,,1.0,,,,,,
1744,3.5,5.0,,21 April 2020,108630608,5495000.0000,"Claremont, Cape Town",House,,,,1.0,,,2.0,,,,,,
1745,3.0,6.0,284 m²,21 December 2018,107050289,9700000.0000,"Vredehoek, Cape Town",House,,,1.0,,,324 m²,1.0,1.0,,1.0,,,
1746,3.0,3.0,146 m²,16 October 2019,108063977,2650000.0000,"Wynberg Upper, Cape Town",Townhouse,,1.0,1.0,,,,1.0,,,,,,
1747,1.0,1.0,53 m²,28 January 2020,106104584,1680000.0000,"Claremont, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1748,2.0,3.0,135 m²,20 December 2019,108278183,6950000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1749,2.0,2.0,77 m²,13 February 2020,108442359,3500000.0000,"Tamboerskloof, Cape Town",Apartment / Flat,,,1.0,,,83 m²,1.0,,,1.0,,,
1750,2.0,2.0,93 m²,27 January 2020,106346074,4590000.0000,"Gardens, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1751,2.0,3.0,184 m²,19 December 2019,108276969,6950000.0000,"Gardens, Cape Town",House,,,,,,,,,,,,,
1752,2.0,2.0,142 m²,18 June 2019,107612292,7750000.0000,"Green Point, Cape Town",Apartment / Flat,,2.0,,1.0,1.0,,,,,,,,
1753,3.0,3.0,119 m²,19 December 2019,108277612,6900000.0000,"Kalk Bay, Cape Town",House,,2.0,,,,748 m²,1.0,,,,1.0,,
