,Bathrooms,Bedrooms,Erf Size,Floor Size,Garages,Listing Date,Listing Number,Pet Friendly,Price,Town,Type of Property,Garden,Pool,Secure Parking,Parking,No Pets Allowed,Furnished,Flatlet,Fibre Internet,Furnished (Optional),ADSL Internet,Satellite Internet
742,1.0,1.0,,50 m²,,15 September 2020,109121939,,1150000.0000,"304 Ascot Towers, Kenilworth, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
743,2.0,2.0,146 m²,146 m²,,15 September 2020,109118037,1.0,4450000.0000,"Green Point, Cape Town",House,1.0,,,,,,,,,,
744,8.0,8.0,183 m²,,,09 September 2020,109096654,,1200000.0000,"2194 Nkamela Street, Philippi, Cape Town",House,,,,,,,,,,,
745,1.0,2.0,,75 m²,,23 September 2020,109151843,,980000.0000,"94 Royal, Maitland, Cape Town",Apartment / Flat,,,,,,,,,,,
746,1.0,1.0,,,,09 September 2020,109097244,,1150000.0000,"20 Shady Pine 295 Main Road, Kenilworth, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
747,2.0,2.0,117 m²,,1.0,04 September 2020,109067854,,3395000.0000,"3 Hugon Road, Claremont Upper, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,
748,1.0,1.0,,46 m²,,15 September 2020,109119873,,2095000.0000,"Rondebosch, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
749,2.0,2.0,,213 m²,2.0,29 August 2020,109045016,,11995000.0000,"275 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,
750,2.0,3.0,116 m²,116 m²,1.0,28 August 2020,109042872,1.0,3995000.0000,"21 Rugley Road, Vredehoek, Cape Town",Apartment / Flat,1.0,,,,,,,1.0,,,
751,1.0,2.0,,80 m²,,24 August 2020,109023521,,1595000.0000,"25 Sharon Court, 1 Victoria Walk, Woodstock, Cape Town",Apartment / Flat,,,,,,,,1.0,,,
752,1.0,2.0,1 111 m²,46 m²,,17 June 2020,108768411,,954000.0000,"Ottery, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
753,1.0,0.5,,58 m²,,15 September 2020,109120327,1.0,1980000.0000,"235 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,
754,1.0,,,38 m²,,31 August 2020,108062641,,1495000.0000,"81 Regent Rd, Sea Point, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
755,2.0,2.0,106 m²,,,15 September 2020,109118487,,1995000.0000,"Kenilworth, Cape Town",Townhouse,1.0,,,1.0,,,,,,,
756,1.0,3.0,400 m²,,1.0,22 September 2020,109149524,,800000.0000,"Bishop Lavis, Cape Town",House,,,,,,,,,,,
757,2.5,4.0,920 m²,285 m²,,16 September 2020,109121096,1.0,4795000.0000,"Pinelands, Cape Town",House,,1.0,,2.0,,,,,,,
758,3.5,6.0,700 m²,,2.0,21 August 2020,109017476,,3200000.0000,"11 Pollsmoor Road, Kirstenhof, Cape Town",House,1.0,1.0,,2.0,,,,,,,
759,1.0,2.0,59 m²,,1.0,22 September 2020,109148814,,1900000.0000,"1 Sidney Street, Zonnebloem, Cape Town",House,,,,1.0,,,,1.0,,,
760,1.0,1.0,,34 m²,,22 September 2020,109150532,,1450000.0000,"Rondebosch Village, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
761,1.0,,,40 m²,,15 September 2020,109119323,,1450000.0000,"Claremont Upper, Cape Town",Apartment / Flat,,,,1.0,,,,,,,
762,2.5,2.0,,165 m²,2.0,14 September 2020,109115721,1.0,7995000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,
763,3.0,3.0,119 m²,119 m²,1.0,20 September 2020,109140305,1.0,2780000.0000,"Kenilworth, Cape Town",Apartment / Flat,1.0,,,1.0,,,,1.0,,,
764,1.0,2.0,82 m²,82 m²,,21 September 2020,109141432,,1970000.0000,"14 Listowel Road, Woodstock, Cape Town",Apartment / Flat,,,,,,,,,,,
765,1.0,2.0,1 346 m²,87 m²,,13 August 2020,108981608,,1150000.0000,"7 Morom Road, Wynberg, Cape Town",Apartment / Flat,,,,,,,,,,,
766,2.0,2.0,275 m²,75 m²,,17 August 2020,105078976,,3995000.0000,"1 Hare Road, Kalk Bay, Cape Town",House,1.0,,2.0,,,,,,,,
767,4.5,4.0,927 m²,349 m²,2.0,25 August 2020,109026900,,12750000.0000,"47 Eden Road, Claremont Upper, Cape Town",House,,,,2.0,,,,,,,
768,1.0,0.5,50 m²,50 m²,,10 September 2020,109104341,,2250000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,1.0,1.0,,,,,
769,2.0,2.0,,140 m²,1.0,13 September 2020,109111367,,8995000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,
770,3.0,4.0,631 m²,175 m²,1.0,09 September 2020,109097820,1.0,8900000.0000,"53 Belvedere Avenue, Oranjezicht, Cape Town",House,1.0,1.0,,1.0,,,,,,,
771,6.0,18.0,235 m²,,1.0,21 September 2020,109144296,,8495000.0000,"Observatory, Cape Town",House,,,,,,,1.0,,,,
772,2.0,1.0,498 m²,165 m²,6.0,21 August 2020,109015890,1.0,4995000.0000,"75 Keurboom Road, Claremont, Cape Town",House,,,,4.0,,1.0,1.0,,,,
773,1.0,2.0,,84 m²,,01 September 2020,109053054,,2095000.0000,"5 Arbor, Rondebosch, Cape Town",Apartment / Flat,,,1.0,,,,,,,,
774,2.0,2.0,,92 m²,,16 September 2020,109125257,,4195000.0000,"Sea Point, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,
775,4.0,4.0,1 280 m²,500 m²,2.0,16 September 2020,109126083,,10700000.0000,"Newlands, Cape Town",House,,,,3.0,,,,,,,
776,1.0,2.0,211 m²,138 m²,1.0,02 September 2020,109058954,,950000.0000,"27 6th Avenue, Maitland, Cape Town",House,,,,,,,,,,,
777,1.0,2.0,229 m²,,,17 September 2020,109132288,1.0,3950000.0000,"Vredehoek, Cape Town",House,,,,1.0,,,,,,,
778,1.5,3.0,595 m²,180 m²,1.0,31 August 2020,109050003,1.0,1950000.0000,"6 Cassandra Road, Pinati, Cape Town",House,1.0,1.0,,4.0,,,,,,,
779,2.0,3.0,595 m²,150 m²,1.0,19 September 2020,109139024,,2395000.0000,"6 Portadown Road, Heathfield, Cape Town",House,,,,5.0,,,,1.0,,,
780,5.0,5.0,919 m²,,4.0,01 September 2020,109051267,1.0,23900000.0000,"21 Glencoe Road, Oranjezicht, Cape Town",House,1.0,1.0,,,,,,,,,
781,2.5,3.0,1 770 m²,,2.0,21 September 2020,109144037,1.0,7995000.0000,"Constantia, Cape Town",House,1.0,1.0,,7.0,,,,1.0,,,
782,1.0,2.0,,64 m²,1.0,17 August 2020,108994170,,1595000.0000,"146 Shelley Road, Salt River, Cape Town",Apartment / Flat,,,,,,,,,,,
